yearmo,SENT,SENT_ORTH,pdnd,ripo,nipo,cefd,s,indpro,consdur,consnon,consserv,recess,employ,cpi
202006,-0.094334908,0.135514185,-10.99063301,36.7,36,10.49374962,0.098660253,91.5625,1684.300049,3095.199951,9247.599609,0,137655,257.0039978
202007,-0.040785357,0.078355029,-13.99022388,44.5,46,10.71625042,0.102232806,95.01439667,1745.099976,3140.800049,9399.299805,0,139240,258.4079895
202008,-0.02693706,0.10479816,-15.98419285,61.9,46,10.42812538,0.106531851,95.88809967,1764.699951,3135.300049,9528.299805,0,140774,259.3659973
202009,-0.029460499,0.026931394,-15.20550728,33.4,65,10.28250027,0.111341715,95.8443985,1788.099976,3196,9670.900391,0,141820,259.9509888
202010,0.100746259,0.120684192,-17.53386307,18.2,92,9.911250114,0.117800131,96.42919922,1791.900024,3170.399902,9740.200195,0,142493,260.2489929
202011,0.181474417,0.292093188,-20.66301727,38.5,42,9.21625042,0.120126411,96.85639954,1787.099976,3157.100098,9731.5,0,142761,260.894989
202012,0.346753716,0.31190449,-23.32615089,84.7,73,8.726875305,0.128143698,97.97540283,1827.699951,3199.300049,9774.900391,0,142518,262.0050049
202101,0.711535454,0.658649862,-25.17416573,37.8,119,6.763124943,0.137518167,98.78359985,1880,3281.600098,9885.799805,0,142916,262.5180054
202102,1.037459373,1.136657119,-25.83285522,32.3,131,5.505000114,0.148024529,95.37439728,1818.599976,3229.800049,9899.700195,0,143443,263.5830078
202103,1.249084592,0.474506199,-22.32316208,21.3,151,4.462500095,0.166911885,98.13510132,2074.300049,3440,10143.2002,0,144274,264.9100037
202104,0.982750714,-0.19064942,-11.95475769,37.9,48,6.322500229,0.17789413,98.28859711,2100.800049,3464.5,10288.90039,0,144593,266.7520142
202105,1.131127834,0.181805044,-10.42813492,34.9,43,6.973124981,0.179605544,99.15080261,2040.300049,3445.399902,10404.2998,0,145044,268.4519958
202106,1.245177865,0.597148061,-14.28160477,37.7,79,6.761250019,0.174014732,99.50959778,2034.099976,3524,10550.2998,0,145822,270.6640015
202107,1.424803257,0.945153475,-13.71577072,24.4,98,7.885624886,0.174814388,100.1231003,1962.599976,3494.199951,10694.09961,0,146761,271.993988
202108,1.664624691,1.177150369,-16.01957321,23.4,40,6.472499847,0.17320694,100.1255035,1972.699951,3557.100098,10775.7998,0,147226,272.7890015
202109,1.747077465,1.320824146,-16.17222023,33.7,53,3.96875,0.171267822,99.06140137,1982.900024,3578.199951,10837.7998,0,147706,273.8869934
202110,1.73959434,1.322156668,-17.62204933,10,101,4.449999809,0.170677334,100.3044968,2063.899902,3633.899902,10916,0,148566,276.4339905
202111,2.043748379,1.652064204,-14.16711712,70.7,92,2.083125114,0.172947288,101.1970978,2078.899902,3670.199951,10992.5,0,149197,278.7990112
202112,2.289941311,2.005889893,-9.900096893,19.4,63,1.233124971,0.163229138,100.8860016,2067.699951,3683.800049,11047.7002,0,149763,280.8080139
202201,2.267408848,2.003316879,-10.59224892,3.4,37,-0.064374998,0.150859311,101.0226974,2134.199951,3701.399902,11053,0,150014,282.3900146
