Date,Close/Last,Open,High,Low,RSI
2020-01-22,3321.75,3330.02,3337.77,3320.04,31.608581691097925
2020-01-23,3325.54,3315.77,3326.88,3301.87,37.34347217493287
2020-01-24,3295.47,3333.1,3333.18,3281.53,41.124203206490265
2020-01-27,3243.63,3247.16,3258.85,3234.5,28.67783164389597
2020-01-28,3276.24,3255.35,3285.78,3253.22,20.406677666698926
2020-01-29,3273.4,3289.46,3293.47,3271.89,31.278538812785428
2020-01-30,3283.66,3256.45,3285.91,3242.8,49.099313438923225
2020-01-31,3225.52,3282.33,3282.33,3214.68,43.750000000000064
2020-02-03,3248.92,3235.66,3268.44,3235.66,49.536446372373845
2020-02-04,3297.59,3280.61,3306.92,3280.61,53.9237370609572
2020-02-05,3334.69,3324.91,3337.58,3313.75,60.83621597232652
2020-02-06,3345.78,3344.92,3347.96,3334.39,80.69054626372836
2020-02-07,3327.71,3335.54,3341.42,3322.12,70.60486150367437
2020-02-10,3352.09,3318.28,3352.26,3317.77,78.08294049327034
2020-02-11,3357.75,3365.87,3375.63,3352.72,82.46515441377412
2020-02-12,3379.45,3370.5,3381.47,3369.72,84.01594419531625
2020-02-13,3373.94,3365.9,3385.09,3360.52,79.57265802750005
2020-02-14,3380.16,3378.08,3380.69,3366.15,85.77359164360298
2020-02-18,3370.29,3369.04,3375.01,3355.61,64.54918032786887
2020-02-19,3386.15,3380.39,3393.52,3378.83,63.16604708798015
2020-02-20,3373.23,3380.45,3389.15,3341.02,63.4653465346534
2020-02-21,3337.75,3360.5,3360.76,3328.45,58.69303034150053
2020-02-24,3225.89,3257.61,3259.81,3214.65,62.86988592503648
2020-02-25,3128.21,3238.94,3246.99,3118.77,66.54042355850983
2020-02-26,3116.39,3139.9,3182.51,3108.99,63.61369494564612
2020-02-27,2978.76,3062.54,3097.07,2977.39,47.56159852114901
2020-02-28,2954.22,2916.9,2959.72,2855.84,54.994587373609406
2020-03-02,3090.23,2974.28,3090.96,2945.19,50.633750133589814
2020-03-03,3003.37,3096.46,3136.72,2976.63,44.43581493398424
2020-03-04,3130.12,3045.75,3130.97,3034.38,48.47524589489277
2020-03-05,3023.94,3075.7,3083.04,2999.83,49.64611562310794
2020-03-06,2972.37,2954.2,2985.93,2901.54,50.24446599137667
2020-03-09,2746.56,2863.89,2863.89,2734.43,49.0830310358726
2020-03-10,2882.23,2813.48,2882.59,2734.0,47.17858318966351
2020-03-11,2741.38,2825.6,2825.6,2707.22,42.30732186542872
2020-03-12,2480.64,2630.86,2660.95,2478.86,41.53444656669003
2020-03-13,2711.02,2569.99,2711.33,2492.37,36.8134606566855
2020-03-16,2386.13,2508.59,2562.98,2380.94,30.849555240428018
2020-03-17,2529.19,2425.66,2553.93,2367.04,33.035101225525906
2020-03-18,2398.1,2436.5,2453.57,2280.52,38.650859340766395
2020-03-19,2409.39,2393.48,2466.97,2319.78,33.96656534954414
2020-03-20,2304.92,2431.94,2453.01,2295.56,40.944559642038634
2020-03-23,2237.4,2290.71,2300.73,2191.86,44.582278481012665
2020-03-24,2447.33,2344.44,2449.71,2344.44,32.6299665510019
2020-03-25,2475.56,2457.77,2571.42,2407.53,34.369765812954896
2020-03-26,2630.07,2501.29,2637.01,2500.72,24.38577308978644
2020-03-27,2541.47,2555.87,2615.91,2520.02,32.41845154119105
2020-03-30,2626.65,2558.98,2631.8,2545.28,35.86155074437609
2020-03-31,2584.59,2614.69,2641.39,2571.15,45.11676751512734
2020-04-01,2470.5,2498.08,2522.75,2447.49,55.77840354002633
2020-04-02,2526.9,2458.54,2533.22,2455.79,61.505065123010034
2020-04-03,2488.65,2514.92,2538.18,2459.96,63.9843093303447
2020-04-06,2663.68,2578.28,2676.85,2574.57,53.883552014995374
2020-04-07,2659.41,2738.65,2756.89,2657.67,57.40763854218662
2020-04-08,2749.98,2685.0,2760.75,2663.3,59.60582386363621
2020-04-09,2789.82,2776.99,2818.57,2762.36,56.583969465648885
2020-04-13,2761.63,2782.46,2782.46,2721.17,60.16924423694186
2020-04-14,2846.06,2805.1,2851.85,2805.1,70.68183157522532
2020-04-15,2783.36,2795.64,2801.88,2761.54,70.75937463265532
