ITL,ITL code,Area,Population,Gross Domestic Product (£m),GDP Growth 2010-19 (%),Gross Value Added (£),GDP per capita (£),Employment (%),Unemployment (%),Economic Inactivity (%),Unemployment Claimants (%)
ITL3,TLJ14,Oxfordshire,691667,25785,18.0,23222,37279,83.4,1.1,15.7,1.3
ITL3,TLJ21,Brighton and Hove,290885,9788,33.2,8820,33649,76.2,3.4,21.1,2.5
ITL3,TLJ22,East Sussex CC,557229,11309,11.2,9482,20295,77.0,3.1,20.4,2.6
ITL3,TLJ25,West Surrey,791487,35781,17.8,32559,45207,81.5,2.1,16.7,0.9
ITL3,TLJ26,East Surrey,404749,15792,-11.1,14050,39016,82.5,2.1,15.6,1.1
ITL3,TLJ27,West Sussex (South West),456758,12753,19.2,11231,27920,81.8,3.4,15.5,1.9
ITL3,TLJ28,West Sussex (North East),407222,14928,16.1,13059,36657,82.2,2.7,15.4,1.4
ITL3,TLJ31,Portsmouth,214905,6963,20.4,6135,32402,70.8,4.0,26.1,2.5
ITL3,TLJ32,Southampton,252520,8545,7.4,7661,33838,75.0,5.5,20.5,3.0
ITL3,TLJ34,Isle of Wight,141771,3195,13.2,2689,22534,73.8,3.4,23.4,2.6
ITL3,TLJ35,South Hampshire,460875,12956,11.7,11134,28111,76.9,3.8,20.1,1.5
ITL3,TLJ36,Central Hampshire,553413,18851,32.5,16372,34063,79.1,2.3,19.0,1.1
ITL3,TLJ37,North Hampshire,368254,18125,28.3,16482,49220,84.6,2.0,13.7,1.3
ITL3,TLJ41,Medway,278556,6897,24.2,5968,24759,77.9,3.4,19.3,2.9
ITL3,TLJ43,Kent Thames Gateway,369627,10664,24.7,9325,28852,79.9,3.7,16.9,2.8
ITL3,TLJ44,East Kent,538443,12207,14.1,10507,22672,73.3,4.1,23.4,3.5
ITL3,TLJ45,Mid Kent,301858,8938,22.3,7845,29610,80.7,3.3,16.4,2.0
ITL3,TLJ46,West Kent,371627,14305,24.5,12734,38494,81.7,4.0,15.1,1.2
ITL3,TLK11,"Bristol, City of",463377,17599,17.9,15996,37980,76.7,4.5,19.7,2.4
ITL3,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",693427,24072,21.8,21361,34714,80.4,3.2,16.9,1.6
ITL3,TLK13,Gloucestershire,637070,21311,15.8,18854,33451,81.9,3.2,15.2,1.8
ITL3,TLK14,Swindon,222193,10801,11.0,9965,48609,80.1,3.4,17.0,2.4
ITL3,TLK15,Wiltshire,500024,13440,15.4,11635,26878,78.8,1.8,19.7,1.6
ITL3,TLK23,Somerset,562225,14206,15.3,12304,25267,80.4,2.5,17.3,2.3
ITL3,TLK24,"Bournemouth, Christchurch and Poole",395331,12178,16.1,10935,30806,80.9,2.4,17.1,2.5
ITL3,TLK25,Dorset,378508,9164,9.0,7969,24211,76.5,2.4,21.7,1.6
ITL3,TLK30,Cornwall and Isles of Scilly,571802,13215,21.0,11363,23110,77.4,3.2,20.0,2.2
ITL3,TLK41,Plymouth,262100,6609,14.3,5756,25216,74.0,4.5,22.4,3.2
ITL3,TLK42,Torbay,136264,2413,-4.6,1981,17711,74.9,3.9,21.9,3.0
ITL3,TLK43,Devon CC,802375,21448,19.9,18488,26731,81.2,2.9,16.2,1.5
ITL3,TLL11,Isle of Anglesey,70043,1388,24.2,1155,19810,77.1,4.5,19.1,2.7
ITL3,TLL12,Gwynedd,124560,2928,11.0,2480,23508,72.2,3.9,24.7,2.0
ITL3,TLL13,Conwy and Denbighshire,212899,4501,20.3,3764,21140,73.7,3.6,23.4,3.2
ITL3,TLL14,South West Wales,387284,8757,28.5,7388,22610,71.3,4.2,25.4,2.3
ITL3,TLL15,Central Valleys,301590,6452,17.3,5420,21392,68.5,5.7,27.3,3.0
ITL3,TLL16,Gwent Valleys,344898,6775,21.3,5667,19644,70.2,5.0,26.1,3.3
ITL3,TLL17,Bridgend and Neath Port Talbot,290364,6959,20.2,5952,23967,73.8,4.0,23.0,3.1
ITL3,TLL18,Swansea,246993,6605,27.2,5798,26740,69.8,4.0,27.2,3.3
ITL3,TLL21,Monmouthshire and Newport,249266,7131,22.4,6326,28609,75.2,3.4,22.0,3.1
ITL3,TLL22,Cardiff and Vale of Glamorgan,500490,16045,25.5,14505,32058,76.1,3.2,21.3,2.9
ITL3,TLL23,Flintshire and Wrexham,292057,9010,20.8,8114,30851,77.3,4.3,19.2,2.8
ITL3,TLL24,Powys,132435,2702,10.7,2299,20402,76.1,2.9,21.5,1.5
ITL3,TLM50,Aberdeen City and Aberdeenshire,489880,19019,5.4,17096,38824,80.0,2.9,17.7,2.0
ITL3,TLM61,Caithness and Sutherland and Ross and Cromarty,93827,2430,17.2,2110,25901,75.2,3.1,22.2,3.0
ITL3,TLM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",204768,6150,17.3,5471,30034,78.7,3.3,18.5,2.3
ITL3,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",98936,2851,12.9,2529,28818,75.9,1.9,22.4,2.6
ITL3,TLM64,Na h-Eileanan Siar,26720,655,14.9,576,24517,82.3,1.1,16.7,2.1
ITL3,TLM65,Orkney Islands,22270,618,-12.5,553,27756,87.1,null,10.9,1.3
ITL3,TLM66,Shetland Islands,22920,877,6.0,802,38262,77.6,null,19.2,1.5
ITL3,TLM71,Angus and Dundee City,265520,6579,14.0,5722,24779,71.6,4.2,25.2,4.0
ITL3,TLM72,Clackmannanshire and Fife,425090,9953,17.5,8576,23413,73.8,3.9,23.4,3.8
ITL3,TLM73,East Lothian and Midlothian,199550,4133,29.8,3490,20711,79.6,2.1,18.7,2.6
ITL3,TLM75,City of Edinburgh,524930,27072,21.1,25199,51573,75.1,2.8,22.6,1.7
ITL3,TLM76,Falkirk,160890,4694,15.0,4120,29175,74.1,4.3,22.5,3.2
ITL3,TLM77,Perth and Kinross and Stirling,246160,7986,12.9,7032,32444,79.2,2.9,18.3,2.1
ITL3,TLM78,West Lothian,183100,5525,12.6,4920,30176,77.8,2.2,20.3,2.8
ITL3,TLM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",223391,4546,18.5,3779,20349,75.2,3.3,22.2,3.0
ITL3,TLM82,Glasgow City,633120,25157,19.8,22791,39735,67.3,4.6,29.3,4.0
ITL3,TLM83,"Inverclyde, East Renfrewshire and Renfrewshire",352430,8082,17.5,6719,22931,74.0,4.1,22.6,3.2
ITL3,TLM84,North Lanarkshire,341370,9352,28.7,8054,27396,74.3,4.7,21.9,3.8
ITL3,TLM91,Scottish Borders,115510,2832,17.9,2437,24517,76.2,3.0,21.2,2.5
ITL3,TLM92,Dumfries and Galloway,148860,4242,14.5,3671,28496,75.1,2.9,22.6,3.0
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,250918,4931,4.7,4077,19653,72.3,5.3,23.7,5.3
ITL3,TLM94,South Ayrshire,112610,2906,1.4,2473,25808,73.9,3.5,23.3,3.9
ITL3,TLM95,South Lanarkshire,320530,8030,11.9,6863,25052,76.6,1.9,21.8,3.4
ITL3,TLN06,Belfast,343542,14870,23.1,13834,43286,67.6,null,23.5,null
ITL3,TLN07,"Armagh City, Banbridge and Craigavon",216205,4847,27.9,4120,22420,72.3,null,18.1,null
ITL3,TLN08,"Newry, Mourne and Down",181368,3879,29.6,3251,21385,73.6,null,18.7,null
ITL3,TLN09,Ards and North Down,161725,2732,18.0,2231,16896,73.1,null,18.7,null
ITL3,TLN0A,Derry City and Strabane,151284,3495,26.1,3007,23099,68.0,null,23.0,null
ITL3,TLN0B,Mid Ulster,148528,4175,29.3,3646,28108,75.3,null,14.7,null
ITL3,TLN0C,Causeway Coast and Glens,144838,2753,11.4,2265,19008,67.6,null,25.5,null
ITL3,TLN0D,Antrim and Newtownabbey,143504,3925,21.4,3402,27353,77.3,null,16.6,null
ITL3,TLN0E,Lisburn and Castlereagh,146002,3882,28.4,3398,26586,81.1,null,12.9,null
ITL3,TLN0F,Mid and East Antrim,139274,2958,-30.8,2508,21238,74.2,null,18.2,null
ITL3,TLN0G,Fermanagh and Omagh,117397,2763,23.3,2348,23532,65.0,null,23.7,null
